channel 5, range 120, amp 510, level 7, msec 1540979392900, tick 418392
channel 6, range 124, amp 741, level 7, msec 1540979392901, tick 420154
channel 5, range 120, amp 509, level 7, msec 1540979392926, tick 418398
channel 6, range 124, amp 740, level 7, msec 1540979392926, tick 420159
channel 6, range 125, amp 740, level 7, msec 1540979392926, tick 420165
channel 6, range 124, amp 740, level 7, msec 1540979392926, tick 420170
channel 6, range 124, amp 740, level 7, msec 1540979392926, tick 420176
channel 5, range 120, amp 510, level 7, msec 1540979392926, tick 418404
channel 5, range 120, amp 509, level 7, msec 1540979392926, tick 418409
channel 5, range 121, amp 509, level 7, msec 1540979392926, tick 418415
channel 5, range 120, amp 510, level 7, msec 1540979392928, tick 418420
channel 6, range 124, amp 739, level 7, msec 1540979392928, tick 420182
channel 6, range 125, amp 739, level 7, msec 1540979392935, tick 420187
channel 5, range 120, amp 509, level 7, msec 1540979392935, tick 418426
channel 5, range 120, amp 508, level 7, msec 1540979392939, tick 418431
channel 6, range 124, amp 740, level 7, msec 1540979392940, tick 420193
channel 6, range 125, amp 739, level 7, msec 1540979392945, tick 420198
channel 5, range 120, amp 509, level 7, msec 1540979392945, tick 418437
channel 5, range 120, amp 510, level 7, msec 1540979392950, tick 418442
channel 6, range 124, amp 740, level 7, msec 1540979392951, tick 420204
channel 5, range 120, amp 508, level 7, msec 1540979392956, tick 418448
channel 6, range 124, amp 740, level 7, msec 1540979392956, tick 420209
channel 3, range 148, amp 672, level 7, msec 1540979392960, tick 419606
channel 5, range 118, amp 508, level 7, msec 1540979392961, tick 418453
channel 6, range 124, amp 741, level 7, msec 1540979392962, tick 420215
channel 5, range 120, amp 510, level 7, msec 1540979392967, tick 418459
channel 6, range 124, amp 737, level 7, msec 1540979392967, tick 420220
channel 5, range 121, amp 509, level 7, msec 1540979392972, tick 418465
channel 6, range 124, amp 742, level 7, msec 1540979392973, tick 420226
channel 5, range 120, amp 509, level 7, msec 1540979392978, tick 418470
channel 6, range 124, amp 739, level 7, msec 1540979392978, tick 420231
channel 5, range 120, amp 510, level 7, msec 1540979392983, tick 418476
channel 6, range 124, amp 740, level 7, msec 1540979392984, tick 420237
channel 5, range 118, amp 508, level 7, msec 1540979392989, tick 418481
channel 6, range 125, amp 737, level 7, msec 1540979392989, tick 420242
channel 5, range 120, amp 510, level 7, msec 1540979392994, tick 418487
channel 6, range 124, amp 740, level 7, msec 1540979392995, tick 420248
channel 5, range 121, amp 508, level 7, msec 1540979393000, tick 418492
channel 6, range 124, amp 741, level 7, msec 1540979393000, tick 420254
