channel 8, range 144, amp 677, level 7, msec 1540981196190, tick 2227547
channel 8, range 143, amp 674, level 7, msec 1540981196195, tick 2227552
channel 9, range 144, amp 633, level 8, msec 1540981196188, tick 12517921
channel 9, range 144, amp 634, level 8, msec 1540981196194, tick 12517928
channel 8, range 140, amp 679, level 7, msec 1540981196202, tick 2227558
channel 8, range 141, amp 673, level 7, msec 1540981196207, tick 2227564
channel 9, range 144, amp 632, level 8, msec 1540981196201, tick 12517934
channel 8, range 140, amp 674, level 7, msec 1540981196212, tick 2227569
channel 8, range 143, amp 674, level 7, msec 1540981196217, tick 2227575
channel 9, range 143, amp 633, level 8, msec 1540981196216, tick 12517940
channel 9, range 144, amp 632, level 8, msec 1540981196217, tick 12517947
channel 8, range 143, amp 675, level 7, msec 1540981196223, tick 2227580
channel 8, range 141, amp 675, level 7, msec 1540981196229, tick 2227586
channel 9, range 143, amp 632, level 8, msec 1540981196220, tick 12517953
channel 8, range 140, amp 677, level 7, msec 1540981196235, tick 2227591
channel 8, range 143, amp 675, level 7, msec 1540981196239, tick 2227597
channel 8, range 137, amp 674, level 7, msec 1540981196245, tick 2227602
channel 8, range 141, amp 675, level 7, msec 1540981196250, tick 2227608
channel 9, range 144, amp 636, level 8, msec 1540981196246, tick 12517960
channel 9, range 144, amp 630, level 8, msec 1540981196247, tick 12517966
channel 9, range 144, amp 635, level 8, msec 1540981196247, tick 12517972
channel 9, range 143, amp 633, level 8, msec 1540981196247, tick 12517979
channel 8, range 143, amp 665, level 7, msec 1540981196257, tick 2227613
channel 9, range 143, amp 635, level 8, msec 1540981196255, tick 12517985
channel 8, range 141, amp 674, level 7, msec 1540981196262, tick 2227619
channel 8, range 145, amp 672, level 7, msec 1540981196267, tick 2227625
channel 9, range 144, amp 633, level 8, msec 1540981196267, tick 12517991
channel 9, range 144, amp 633, level 8, msec 1540981196267, tick 12517998
channel 8, range 141, amp 674, level 7, msec 1540981196274, tick 2227630
channel 8, range 144, amp 667, level 7, msec 1540981196278, tick 2227636
channel 9, range 144, amp 630, level 8, msec 1540981196271, tick 12518004
channel 9, range 143, amp 633, level 8, msec 1540981196277, tick 12518011
channel 8, range 143, amp 675, level 7, msec 1540981196284, tick 2227641
channel 8, range 146, amp 657, level 7, msec 1540981196289, tick 2227647
channel 9, range 144, amp 635, level 8, msec 1540981196284, tick 12518017
channel 8, range 141, amp 673, level 7, msec 1540981196296, tick 2227652
channel 8, range 141, amp 676, level 7, msec 1540981196300, tick 2227658
channel 9, range 144, amp 630, level 8, msec 1540981196290, tick 12518023
channel 9, range 144, amp 635, level 8, msec 1540981196296, tick 12518030
channel 8, range 144, amp 676, level 7, msec 1540981196306, tick 2227663
channel 8, range 143, amp 673, level 7, msec 1540981196325, tick 2227669
channel 8, range 139, amp 678, level 7, msec 1540981196325, tick 2227675
channel 8, range 143, amp 674, level 7, msec 1540981196326, tick 2227680
channel 8, range 141, amp 660, level 7, msec 1540981196329, tick 2227686
channel 8, range 141, amp 674, level 7, msec 1540981196334, tick 2227691
channel 8, range 147, amp 671, level 7, msec 1540981196339, tick 2227697
channel 9, range 145, amp 630, level 8, msec 1540981196302, tick 12518036
channel 9, range 143, amp 635, level 8, msec 1540981196309, tick 12518043
channel 9, range 144, amp 632, level 8, msec 1540981196315, tick 12518049
channel 9, range 144, amp 633, level 8, msec 1540981196322, tick 12518055
channel 9, range 144, amp 634, level 8, msec 1540981196328, tick 12518062
channel 9, range 144, amp 634, level 8, msec 1540981196335, tick 12518068
channel 9, range 143, amp 636, level 8, msec 1540981196341, tick 12518074
channel 8, range 141, amp 674, level 7, msec 1540981196345, tick 2227702
channel 8, range 144, amp 668, level 7, msec 1540981196350, tick 2227708
